gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d
1542675,1119744,187489,standard,from_u,1.0,10.88639719355977,-0.14522734185184188,-0.14522734185184188,y,0.001,y,solve_direct_pardiso,gmres-phase,1,201,True,True,nan,5.623896057688152e-10,2.5883433519589133e-05,5.623896022976678e-10,1386.8769621551037,4.604458808898926e-06,93.12750321626663,1256.5468372255564,5.907385662198067,27.490992799401283,1.0,1e-05,-0.14522734185184188,0.001,10,8,True,1.3898413903324511e-07,4.688679906871954e-06
1542675,1119744,187489,standard,from_u,1.0,14.359814391834764,-0.15944328270437358,-0.15944328270437358,y,0.0011,y,solve_direct_pardiso,gmres-phase,1,196,True,True,nan,1.2164023345928669e-09,1.1960522179157995e-07,1.2164023344615714e-09,1692.8625760376453,5.7220458984375e-06,116.36455726623535,1529.3561907857656,7.875371754169464,34.98315589129925,1.0,1e-05,-0.15944328270437358,0.0011,11,10,True,1.324189679462099e-06,2.0699116156163683e-06
1542675,1119744,187489,standard,from_u,1.0,14.359814391834764,-0.15944328270437358,-0.15944328270437358,y,0.0011,y,solve_direct_pardiso,gmres-phase,1,196,True,True,nan,1.2164023345928669e-09,1.1960522179157995e-07,1.2164023344615714e-09,1694.1950789242983,5.319714546203613e-06,117.09019215404987,1531.0572160035372,7.556753396987915,34.47765727341175,1.0,1e-05,-0.15944328270437358,0.0011,11,10,True,1.324189679462099e-06,2.0699116156163683e-06
1542675,1119744,187489,standard,from_u,1.0,19.051160148174265,-0.17357470914220485,-0.17357470914220485,y,0.0012000000000000001,y,solve_direct_pardiso,gmres-phase,1,203,True,True,nan,1.7118425359928235e-09,2.7191678320938865e-07,1.7118425327316546e-09,2042.314307436347,4.291534423828125e-06,138.05223052203655,1849.9336392134428,8.918629541993141,41.01060248911381,1.0,1e-05,-0.17357470914220485,0.0012000000000000001,12,12,True,4.09985230810902e-07,3.441054271512319e-06
1542675,1119744,187489,standard,from_u,1.0,19.051160148174265,-0.17357470914220485,-0.17357470914220485,y,0.0012000000000000001,y,solve_direct_pardiso,gmres-phase,1,203,True,True,nan,1.7118425359928235e-09,2.7191678320938865e-07,1.7118425327316546e-09,2036.5724276453257,4.157423973083496e-06,138.37172490358353,1843.2074694037437,8.762500807642937,41.94925005733967,1.0,1e-05,-0.17357470914220485,0.0012000000000000001,12,12,True,4.09985230810902e-07,3.441054271512319e-06
1542675,1119744,187489,standard,from_u,1.0,25.661280948522315,-0.18761487486351094,-0.18761487486351094,y,0.0013000000000000002,y,solve_direct_pardiso,gmres-phase,1,208,True,True,nan,5.079217138947891e-10,7.283174659866473e-07,5.07921716619334e-10,2002.5752582103014,4.246830940246582e-06,147.821225553751,1795.3194610476494,9.761002451181412,45.14595717191696,1.0,1e-05,-0.18761487486351094,0.0013000000000000002,13,13,True,1.0893932158632805e-06,4.8012755627293286e-06
1542675,1119744,187489,standard,from_u,1.0,25.661280948522315,-0.18761487486351094,-0.18761487486351094,y,0.0013000000000000002,y,solve_direct_pardiso,gmres-phase,1,208,True,True,nan,5.079217138947891e-10,7.283174659866473e-07,5.07921716619334e-10,1994.6996369063854,4.798173904418945e-06,149.78315536677837,1785.9151320159435,9.579167693853378,44.946249559521675,1.0,1e-05,-0.18761487486351094,0.0013000000000000002,13,13,True,1.0893932158632805e-06,4.8012755627293286e-06
1542675,1119744,187489,standard,from_u,1.0,35.310503575208756,-0.20155709607442715,-0.20155709607442715,y,0.0014,y,solve_direct_pardiso,gmres-phase,1,202,True,True,nan,4.0450656435346703e-10,1.3688631157073862e-05,4.045065623388519e-10,2258.5880226641893,4.932284355163574e-06,172.1052552163601,2019.453210785985,11.717126697301865,50.323368683457375,1.0,1e-05,-0.20155709607442715,0.0014,14,15,True,3.92147192542317e-07,3.7082587640835497e-06
1542675,1119744,187489,standard,from_u,1.0,35.310503575208756,-0.20155709607442715,-0.20155709607442715,y,0.0014,y,solve_direct_pardiso,gmres-phase,1,202,True,True,nan,4.0450656435346703e-10,1.3688631157073862e-05,4.045065623388519e-10,2265.246872857213,4.559755325317383e-06,173.07458898425102,2026.1976853609085,11.122559666633606,50.03931048512459,1.0,1e-05,-0.20155709607442715,0.0014,14,15,True,3.92147192542317e-07,3.7082587640835497e-06
1542675,1119744,187489,standard,from_u,1.0,49.301938071024246,-0.2153950682635572,-0.2153950682635572,y,0.0015,y,solve_direct_pardiso,gmres-phase,1,215,True,True,nan,5.630461604079146e-10,3.4298103547928693e-06,5.630461649847849e-10,2618.5858803242445,4.544854164123535e-06,202.09096565842628,2339.48438821733,13.763183176517487,58.12887862324715,1.0,1e-05,-0.2153950682635572,0.0015,15,18,True,2.1413710994220797e-06,7.370118439581599e-06
1542675,1119744,187489,standard,from_u,1.0,49.301938071024246,-0.2153950682635572,-0.2153950682635572,y,0.0015,y,solve_direct_pardiso,gmres-phase,1,215,True,True,nan,5.630461604079146e-10,3.4298103547928693e-06,5.630461649847849e-10,2659.6914265304804,4.306435585021973e-06,206.78457401692867,2375.9681143164635,13.447195678949356,58.16325902938843,1.0,1e-05,-0.2153950682635572,0.0015,15,18,True,2.1413710994220797e-06,7.370118439581599e-06
1542675,1119744,187489,standard,from_u,1.0,68.74092622253276,-0.2291257466036124,-0.2291257466036124,y,0.0016,y,solve_direct_pardiso,gmres-phase,1,209,True,True,nan,1.882370484455872e-10,0.0007854668838591253,1.8823704783897892e-10,2678.1641713678837,5.200505256652832e-06,191.01507648825645,2414.6002496629953,13.229584872722626,54.36707891523838,1.0,1e-05,-0.2291257466036124,0.0016,16,17,True,2.3205924643980124e-06,6.352787786418706e-06
1542675,1119744,187489,standard,from_u,1.0,68.74092622253276,-0.2291257466036124,-0.2291257466036124,y,0.0016,y,solve_direct_pardiso,gmres-phase,1,209,True,True,nan,1.882370484455872e-10,0.0007854668838591253,1.8823704783897892e-10,2746.9047424197197,4.51505184173584e-06,195.9689619243145,2479.6653447449207,12.463934689760208,53.9391673207283,1.0,1e-05,-0.2291257466036124,0.0016,16,17,True,2.3205924643980124e-06,6.352787786418706e-06
1542675,1119744,187489,standard,from_u,1.0,93.32596413670345,-0.24274815990957602,-0.24274815990957602,y,0.0017000000000000001,y,solve_direct_pardiso,gmres-phase,1,212,True,True,nan,1.783923360691255e-10,6.023851741591364e-07,1.78392335104237e-10,2706.956941500306,5.155801773071289e-06,190.60583785176277,2443.9193805754185,13.061498150229454,54.367523327469826,1.0,1e-05,-0.24274815990957602,0.0017000000000000001,17,17,True,1.1026493610571392e-06,6.27436504664848e-06
1542675,1119744,187489,standard,from_u,1.0,93.32596413670345,-0.24274815990957602,-0.24274815990957602,y,0.0017000000000000001,y,solve_direct_pardiso,gmres-phase,1,212,True,True,nan,1.783923360691255e-10,6.023851741591364e-07,1.78392335104237e-10,2791.9743716567755,5.7220458984375e-06,194.94222830235958,2524.096130385995,12.38145723938942,55.59240961074829,1.0,1e-05,-0.24274815990957602,0.0017000000000000001,17,17,True,1.1026493610571392e-06,6.27436504664848e-06
