gdof_sigma,gdof_u,gdof_d,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,reaction_y,disp_y,step,iters,converged,err_u,err_d
17120,12120,2150,1.0,2566.44942406384,-0.21593979821271997,-0.21593979821271997,y,0.10300000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.3144375783408046e-14,9.964952269662966e-17,1.8775967080146074,1.8747523427009583e-06,0.7983101247809827,0.987637834623456,0.05231274990364909,0.008606040850281715,-0.21593979821271997,0.10300000000000001,20,3,True,2.088751025020708e-12,1.4037423777690483e-13
17120,12120,2150,1.0,2667.365763543391,-0.20591662606888664,-0.20591662606888664,y,0.1052,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.6922057837941596e-14,1.1177868473651588e-16,1.8370050829835236,2.3329630494117737e-06,0.7871279581449926,0.9541671248152852,0.0540552930906415,0.008605041075497866,-0.20591662606888664,0.1052,21,3,True,1.8667062955235313e-12,1.1100804257490769e-13
17120,12120,2150,1.0,2769.8049003159626,-0.19679966719541406,-0.19679966719541406,y,0.1074,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.019739617774352e-14,1.5005034989535906e-16,2.0432930001989007,2.624932676553726e-06,0.7877046260982752,1.149632084183395,0.052513125352561474,0.008707833010703325,-0.19679966719541406,0.1074,22,3,True,3.25032309086117e-12,1.7043247256574014e-13
17120,12120,2150,1.0,2874.194202959876,-0.18808991015047588,-0.18808991015047588,y,0.1096,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.283481714883736e-14,9.716364562937058e-17,2.566292000003159,5.458947271108627e-06,1.0634728758595884,1.3835657080635428,0.0722396238707006,0.011746542062610388,-0.18808991015047588,0.1096,23,4,True,2.3015775414028467e-12,2.246262774590654e-13
17120,12120,2150,1.0,2980.371169744474,-0.1797278919482715,-0.1797278919482715,y,0.11180000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.9006801561859846e-14,1.2083319662405067e-16,2.5171809578314424,2.0419247448444366e-06,1.038319998420775,1.3531888336874545,0.07341191498562694,0.011413583066314459,-0.1797278919482715,0.11180000000000001,24,4,True,1.5021113031042884e-12,2.3412395837159844e-13
17120,12120,2150,1.0,3088.483487073997,-0.1716668426587396,-0.1716668426587396,y,0.114,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.9189161485266794e-14,1.6892751432620434e-16,2.578103708103299,3.041233867406845e-06,1.135101459454745,1.3081548335030675,0.0712741264142096,0.011750042904168367,-0.1716668426587396,0.114,25,4,True,2.184827614504176e-12,1.5315135986580738e-13
17120,12120,2150,1.0,3198.474685726622,-0.164014474402,-0.164014474402,y,0.1162,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.5045371082476757e-14,1.5238379067255343e-16,1.8862992087379098,3.33273783326149e-06,0.8046548734419048,0.984831792768091,0.056317292619496584,0.008662041742354631,-0.164014474402,0.1162,26,3,True,3.107393827101613e-12,1.8802443184244984e-13
17120,12120,2150,1.0,3310.3668261495654,-0.1567959721992267,-0.1567959721992267,y,0.1184,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.267639236765304e-14,1.2974704839255268e-16,1.919177500065416,2.250075340270996e-06,0.8045879164710641,1.0169608751311898,0.051225666888058186,0.008515709079802036,-0.1567959721992267,0.1184,27,3,True,2.9543198105076476e-12,1.9773869884247658e-13
17120,12120,2150,1.0,3424.14823935827,-0.15025306088660445,-0.15025306088660445,y,0.1206,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.027096355121945e-14,1.4991334338699497e-16,3.8068797499872744,2.4172477424144745e-06,1.580103125423193,2.071193083655089,0.10419045714661479,0.017264792695641518,-0.15025306088660445,0.1206,28,6,True,9.760877734569564e-07,1.536097986625748e-08
17120,12120,2150,1.0,3539.799636798372,-0.14397295428131104,-0.14397295428131104,y,0.12279999999999999,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.3399238558335625e-14,1.721402570261841e-16,3.762593917082995,1.9171275198459625e-06,1.6100242072716355,1.991125457920134,0.10767245898023248,0.017199084628373384,-0.14397295428131104,0.12279999999999999,29,6,True,1.062264128361954e-06,1.6700478474867926e-08
17120,12120,2150,1.0,3657.3649540139795,-0.13797606183369635,-0.13797606183369635,y,0.125,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.34954767223181e-14,1.2919985315623242e-16,3.7891897088848054,1.8333084881305695e-06,1.606925833504647,2.0271740001626313,0.10339399985969067,0.017137168440967798,-0.13797606183369635,0.125,30,6,True,1.0151804501144535e-06,1.6563505698435462e-08
