step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
3,0.04200000000000001,2,17120,12120,2150,0.2019476296226951,1.0404024833660297,0.3628556491332958,0.6737131225058761,0.2854090844603457,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.2834376457305694e-11,2.5513819139822555e-15,0.1230572909116745,0.3780322917737067,0.021780624985694885,0.002896666992455721,0.5010895826853812,0.024677291978150606,0.5265124156139791
3,0.04200000000000001,3,17120,12120,2150,0.1683592925314317,0.9932925248163029,0.30250476568232876,0.643207046460215,0.3754910319769141,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.721986172941854e-11,2.0070956572686017e-15,0.12368937535211444,0.33500158321112394,0.02296312479302287,0.0030937078408896923,0.4586909585632384,0.026056832633912563,0.48568550031632185
3,0.04200000000000001,4,17120,12120,2150,0.20780279345262764,1.5520095798668172,0.373376095826636,1.0050045409621007,0.49409458570598563,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.487914164121952e-12,1.5759978671177712e-15,0.11966537497937679,0.34121099999174476,0.02056795870885253,0.0027630836702883244,0.46087637497112155,0.023331042379140854,0.4849430420435965
3,0.04200000000000001,5,17120,12120,2150,0.545978009753205,3.4032844992427083,0.9810028744167054,2.203798494735038,0.7930204602268683,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.073344185972653e-11,1.0885743024149723e-15,0.11433508293703198,0.36872254218906164,0.02027408266440034,0.002849041949957609,0.4830576251260936,0.02312312461435795,0.5069134999066591
3,0.04200000000000001,6,17120,12120,2150,3.947276135496056,5.770911673093266,7.092390473360754,3.736956596265099,0.9981732813486769,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.786248147634913e-12,3.719171856125277e-16,0.11809004191309214,0.35392129188403487,0.020172167103737593,0.0028027500957250595,0.472011333797127,0.022974917199462652,0.49575662473216653
3,0.04200000000000001,7,17120,12120,2150,64669.47746900189,6.864649390320885,116196.88366715361,4.445206974803101,1.0,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.2602015464933446e-10,8.386611250897024e-15,0.11385237518697977,0.36229791725054383,0.020471250172704458,0.0029484168626368046,0.4761502924375236,0.023419667035341263,0.5002992921508849
3,0.04200000000000001,8,17120,12120,2150,608514.9175397627,6.8886364591494695,1093367.9975532156,4.460739812621774,1.0,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.827035072674859e-10,6.237852157226295e-15,0.11613145796582103,0.392664666287601,0.020263124722987413,0.002854167018085718,0.508796124253422,0.02311729174107313,0.5326542081311345
3,0.04200000000000001,9,17120,12120,2150,780801.0571063792,7.411343053780229,1402928.4470911126,4.799218716366575,1.0,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.895459889777901e-09,3.17430042301526e-14,0.11508795898407698,0.44327258318662643,0.02044754195958376,0.0029217498376965523,0.5583605421707034,0.02336929179728031,0.5825763749890029
3,0.04200000000000001,10,17120,12120,2150,637433.0013789412,6.503934061043051,1145327.4590371693,4.211625591916294,1.0,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.153993277876332e-09,2.3779961119078416e-14,0.11607504077255726,0.4642913341522217,0.020570917055010796,0.0029257922433316708,0.5803663749247789,0.023496709298342466,0.6045984169468284
3,0.04200000000000001,11,17120,12120,2150,673454.3121680476,5.204867757528826,1210049.8632240046,3.3704145897556748,1.0,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.424209430524913e-10,2.0238808540806624e-14,0.11351029109209776,0.4714777497574687,0.020254000090062618,0.002955667208880186,0.5849880408495665,0.023209667298942804,0.6089367922395468
