gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_x,disp_x,step,iters,converged,err_u,err_d
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00046,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,43.45515188574791,5.841255187988281e-06,18.057005554437637,4.009013831615448,1.2900305539369583,12.434710323810577,1.0,1e-05,-0.0,0.00046,46,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00047000000000000004,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,43.05398494005203,8.404254913330078e-06,18.42663112282753,4.547820627689362,1.2687519937753677,12.483531057834625,1.0,1e-05,-0.0,0.00047000000000000004,47,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00048000000000000007,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,42.60137374699116,4.455447196960449e-06,16.725919276475906,3.869887664914131,1.3035470992326736,13.831780850887299,1.0,1e-05,-0.0,0.00048000000000000007,48,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0004900000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,42.119489684700966,4.023313522338867e-06,17.66089589893818,3.724949762225151,1.4523767232894897,12.663427218794823,1.0,1e-05,-0.0,0.0004900000000000001,49,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0005,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,45.28956763446331,4.842877388000488e-06,19.440689027309418,4.9152951538562775,1.5509398430585861,12.947072699666023,1.0,1e-05,-0.0,0.0005,50,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00051,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,44.19169592857361,4.738569259643555e-06,19.10710734128952,4.700122147798538,1.4046949446201324,12.536166995763779,1.0,1e-05,-0.0,0.00051,51,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0005200000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,47.52121789753437,4.082918167114258e-06,18.98300874233246,4.77186593413353,1.519357368350029,15.449841365218163,1.0,1e-05,-0.0,0.0005200000000000001,52,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0005300000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,49.17074513435364,4.738569259643555e-06,19.15332205593586,4.87152224779129,1.4458677470684052,15.47799177467823,1.0,1e-05,-0.0,0.0005300000000000001,53,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00054,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,45.5650005787611,4.410743713378906e-06,17.13549317419529,3.729425862431526,1.2412149757146835,15.09848003089428,1.0,1e-05,-0.0,0.00054,54,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00055,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,45.7072399109602,4.395842552185059e-06,16.91191139817238,3.7895151674747467,1.3415867239236832,15.451052278280258,1.0,1e-05,-0.0,0.00055,55,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0005600000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,49.45410434901714,4.380941390991211e-06,20.017802238464355,4.739017382264137,1.4728476107120514,15.026604250073433,1.0,1e-05,-0.0,0.0005600000000000001,56,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0005700000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,45.283202663064,4.500150680541992e-06,17.326057091355324,3.759744495153427,1.252498984336853,15.246923685073853,1.0,1e-05,-0.0,0.0005700000000000001,57,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00058,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,43.551151141524315,4.082918167114258e-06,17.8052649050951,3.7579863369464874,1.3684161603450775,12.888111233711243,1.0,1e-05,-0.0,0.00058,58,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00059,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,52.3281067609787,3.874301910400391e-06,23.14541071653366,4.862968817353249,1.4801155775785446,15.787771508097649,1.0,1e-05,-0.0,0.00059,59,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0006000000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,49.32073266804218,6.467103958129883e-06,18.879065200686455,4.741391286253929,1.5363736748695374,15.823456600308418,1.0,1e-05,-0.0,0.0006000000000000001,60,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0006100000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,49.59676173329353,5.02169132232666e-06,20.462641939520836,4.816071510314941,1.3004684299230576,14.752127394080162,1.0,1e-05,-0.0,0.0006100000000000001,61,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00062,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,47.05186541378498,5.066394805908203e-06,19.250526264309883,4.821787595748901,1.3939921855926514,13.732969999313354,1.0,1e-05,-0.0,0.00062,62,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00063,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,48.85622979700565,4.202127456665039e-06,19.794006630778313,4.852555871009827,1.4580990374088287,15.80608120560646,1.0,1e-05,-0.0,0.00063,63,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00064,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,46.96868631243706,4.678964614868164e-06,17.24289533495903,3.7967395931482315,1.5544446408748627,16.029605388641357,1.0,1e-05,-0.0,0.00064,64,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0006500000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,54.53635527193546,4.798173904418945e-06,19.741182401776314,5.1065648049116135,1.5429952889680862,19.35463911294937,1.0,1e-05,-0.0,0.0006500000000000001,65,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0006600000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,51.592725947499275,5.349516868591309e-06,19.759992957115173,5.043682560324669,1.3000065088272095,15.674191102385521,1.0,1e-05,-0.0,0.0006600000000000001,66,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00067,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,48.5838563144207,4.857778549194336e-06,19.363791972398758,3.982278496026993,1.3273671716451645,15.671642616391182,1.0,1e-05,-0.0,0.00067,67,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.00068,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,53.768210649490356,4.336237907409668e-06,19.072057023644447,3.8500033617019653,1.5220746546983719,20.46504431962967,1.0,1e-05,-0.0,0.00068,68,1,True,0.0,0.0
1952022,1417176,237169,standard,from_u,1.0,0.0,-0.0,-0.0,x,0.0006900000000000001,x,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,51.697555273771286,4.9620866775512695e-06,19.91758804023266,4.800732180476189,1.5594665557146072,15.643098831176758,1.0,1e-05,-0.0,0.0006900000000000001,69,1,True,0.0,0.0
